DATE,HOME,AWAY,HOME TEAM,AWAY TEAM,HOME SCORE,AWAY SCORE,HOME 1,AWAY 1,HOME 2,AWAY 2,HOME 3,AWAY 3,HOME OT,AWAY OT,HOME SHOTS,AWAY SHOTS,5-2 SESH?
,MARK,WILL,TOR,TOR,0,2,,,,,,,,,,,
,WILL,THEO,CHI,PIT,1,5,,,,,,,,,,,
,WILL,MARK,TBL,CHI,3,1,,,,,,,,,,,
5/9/2023,MARK,WILL,NJD,NSH,4,5,,,,,,,,,,,
5/9/2023,WILL,THEO,NYI,WSH,2,1,0,0,1,0,1,1,,,13,18,0
5/10/2023,WILL,MARK,COL,CBJ,9,0,2,0,4,0,3,0,,,20,12,0
5/10/2023,THEO,MARK,EDM,TBL,2,4,1,0,0,1,1,3,,,15,12,0
5/10/2023,WILL,THEO,EDM,VGK,4,5,2,0,1,4,1,1,,,12,14,0
5/10/2023,THEO,WILL,BUF,CAR,4,2,2,1,1,0,1,1,,,13,14,0
5/10/2023,MARK,THEO,TOR,WPG,4,7,2,2,1,2,1,3,,,11,16,0
5/10/2023,THEO,WILL,CGY,BUF,5,2,2,0,1,1,2,1,,,19,9,1
5/10/2023,MARK,THEO,WSH,EDM,4,3,1,0,1,0,1,3,1,0,10,15,0
5/10/2023,THEO,WILL,BOS,TOR,0,1,0,1,0,0,0,0,,,6,18,0
5/10/2023,MARK,THEO,VGK,EDM,4,5,1,1,0,3,3,1,,,13,11,0
5/11/2023,THEO,MARK,VGK,PIT,3,2,1,1,0,1,1,0,1,0,19,7,0
5/11/2023,MARK,THEO,NYI,COL,1,4,0,1,0,0,1,3,,,,,0
5/11/2023,WILL,THEO,ARI,PIT,3,10,1,2,1,5,1,3,,,11,18,1
5/11/2023,WILL,THEO,NYR,TOR,2,3,0,1,1,1,1,0,0,1,15,16,0
5/12/2023,WILL,MARK,NJD,NJD,2,1,0,1,1,0,0,0,1,0,19,10,0
5/12/2023,MARK,THEO,PIT,PIT,0,3,0,1,0,2,0,0,,,12,13,0
5/12/2023,MARK,THEO,TOR,PIT,1,6,0,2,1,2,0,2,,,8,18,0
5/12/2023,MARK,THEO,EDM,COL,6,5,3,1,0,2,3,2,,,16,19,0
5/12/2023,MARK,WILL,TOR,CGY,5,6,2,2,0,2,3,2,,,19,13,1
5/12/2023,MARK,WILL,COL,BOS,4,1,2,0,0,0,2,1,,,22,14,0
5/12/2023,MARK,THEO,LAK,TOR,1,2,0,0,0,1,1,1,,,12,15,0
5/12/2023,MARK,THEO,DAL,SEA,3,7,1,4,2,2,0,1,,,14,20,0
5/12/2023,THEO,MARK,BOS,CGY,5,3,1,0,3,0,1,2,,,21,9,0
5/15/2023,THEO,MARK,STL,PIT,6,3,1,2,0,1,5,0,,,12,16,0
5/15/2023,THEO,MARK,WPG,CGY,2,1,0,0,1,1,1,0,,,15,7,0
5/15/2023,WILL,MARK,WPG,CAR,2,5,1,0,1,5,0,0,,,15,17,1
5/15/2023,THEO,MARK,NYR,MIN,4,0,0,0,1,0,3,0,,,11,5,0
5/15/2023,THEO,WILL,TBL,SJS,6,0,3,0,2,0,1,0,,,19,8,0
5/15/2023,MARK,THEO,NYR,TOR,2,6,1,1,1,3,0,2,,,7,12,1
5/15/2023,THEO,WILL,CAR,WSH,1,2,0,2,1,0,0,0,,,9,8,0
5/15/2023,THEO,WILL,NSH,BOS,3,2,3,0,0,1,0,1,,,14,14,0
5/16/2023,WILL,MARK,COL,WSH,3,2,1,0,0,1,1,1,1,0,22,14,0
5/16/2023,WILL,THEO,EDM,VGK,3,4,1,0,1,2,1,2,,,14,11,0
5/16/2023,MARK,THEO,NJD,NSH,4,7,1,3,1,3,2,1,,,25,18,1
5/16/2023,THEO,WILL,NYI,MIN,3,1,1,0,1,1,1,0,,,13,9,0
5/16/2023,MARK,THEO,EDM,CBJ,5,2,2,0,0,0,3,2,,,10,14,1
5/16/2023,THEO,WILL,VAN,TBL,4,3,0,1,2,2,2,0,,,10,16,0
5/16/2023,WILL,THEO,NYR,EDM,4,3,1,1,0,1,2,2,,,15,19,0
5/17/2023,THEO,WILL,WPG,TBL,4,3,2,3,0,0,1,0,1,0,24,11,0
5/17/2023,MARK,THEO,NYR,PHI,0,2,0,0,0,2,0,0,,,19,12,0
5/17/2023,THEO,MARK,EDM,DAL,1,2,1,1,0,1,0,0,,,14,16,0
5/17/2023,MARK,THEO,BOS,DAL,2,1,0,1,0,0,2,0,,,13,11,0
5/17/2023,THEO,MARK,,,4,2,1,1,2,0,1,1,,,18,4,0
5/17/2023,THEO,MARK,TBL,DAL,2,4,2,1,0,1,0,2,,,15,11,0
5/17/2023,WILL,MARK,TOR,WSH,3,4,2,2,0,1,1,1,,,14,15,0
5/17/2023,MARK,WILL,CAR,CAR,2,5,0,2,0,2,2,1,,,10,19,1
5/17/2023,THEO,WILL,BOS,STL,1,2,0,1,0,0,1,0,0,1,17,12,0
5/18/2023,WILL,THEO,STL,LAK,4,3,1,1,1,2,2,0,,,15,20,0
5/18/2023,WILL,THEO,NYR,NYI,4,9,1,2,2,2,1,5,,,16,15,0
5/18/2023,THEO,MARK,SJS,SEA,7,1,2,1,2,0,3,0,,,,,0
5/18/2023,MARK,THEO,CAR,TBL,4,6,1,2,1,2,2,2,,,20,15,1
5/18/2023,THEO,WILL,VGK,FLA,3,2,1,0,0,0,2,2,,,17,6,0
5/19/2023,MARK,THEO,NYI,BUF,4,2,2,1,1,0,1,0,,,16,18,0
5/19/2023,MARK,THEO,TBL,BUF,2,8,1,1,1,5,0,2,,,8,18,1
5/19/2023,MARK,THEO,CGY,SEA,1,7,0,2,0,2,1,3,,,15,16,0
5/19/2023,THEO,MARK,CHI,SEA,4,2,0,0,2,0,2,2,,,20,0,0
5/19/2023,THEO,MARK,BUF,EDM,2,3,1,1,1,0,0,2,,,17,11,0
5/19/2023,THEO,MARK,ANA,COL,1,2,0,0,1,0,0,2,,,20,11,0
5/19/2023,MARK,THEO,COL,CAR,1,5,0,1,0,0,1,4,,,13,14,0
5/19/2023,MARK,THEO,VGK,TBL,2,5,0,1,2,1,0,3,,,9,20,1
5/19/2023,THEO,MARK,SEA,NJD,3,4,0,0,2,0,1,3,0,1,17,15,0
5/19/2023,THEO,MARK,PIT,CGY,1,2,0,1,0,0,1,1,,,14,14,0
5/20/2023,MARK,THEO,COL,COL,2,5,0,1,1,3,1,1,,,8,22,1
5/20/2023,THEO,MARK,BUF,NJD,1,2,0,0,1,1,0,1,,,14,16,0
